ダウンロードした時刻：2023/07/20 12:12:46

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1931/6/11,20.4,8,1,25.0,8,1,15.8,8,1
1931/6/12,18.1,8,1,20.1,8,1,16.8,8,1
1931/6/13,22.1,8,1,26.6,8,1,15.5,8,1
1931/6/14,21.7,8,1,26.1,8,1,16.8,8,1
1931/6/15,21.6,8,1,25.7,8,1,17.5,8,1
1931/6/16,16.5,8,1,18.3,8,1,15.0,8,1
1931/6/17,17.1,8,1,21.3,8,1,14.2,8,1
1931/6/18,16.8,8,1,19.0,8,1,14.5,8,1
1931/6/19,17.8,8,1,22.1,8,1,14.0,8,1
1931/6/20,19.8,8,1,24.9,8,1,15.1,8,1
1931/6/21,21.3,8,1,25.3,8,1,17.7,8,1
1931/6/22,21.1,8,1,25.4,8,1,18.2,8,1
1931/6/23,21.2,8,1,25.9,8,1,16.8,8,1
1931/6/24,21.4,8,1,24.7,8,1,19.1,8,1
1931/6/25,20.3,8,1,22.3,8,1,19.2,8,1
1931/6/26,21.4,8,1,23.9,8,1,18.7,8,1
1931/6/27,22.4,8,1,26.5,8,1,18.2,8,1
1931/6/28,23.5,8,1,27.1,8,1,21.3,8,1
1931/6/29,24.5,8,1,29.9,8,1,20.9,8,1
1931/6/30,23.8,8,1,28.1,8,1,19.5,8,1
1931/7/1,23.3,8,1,27.0,8,1,20.2,8,1
1931/7/2,23.3,8,1,27.6,8,1,18.8,8,1
1931/7/3,24.6,8,1,28.4,8,1,21.3,8,1
1931/7/4,24.0,8,1,29.8,8,1,21.3,8,1
1931/7/5,23.2,8,1,25.6,8,1,21.6,8,1
1931/7/6,20.4,8,1,22.1,8,1,19.4,8,1
1931/7/7,21.1,8,1,24.1,8,1,17.5,8,1
1931/7/8,22.5,8,1,25.5,8,1,19.4,8,1
1931/7/9,19.5,8,1,21.9,8,1,17.8,8,1
1931/7/10,18.1,8,1,19.6,8,1,16.6,8,1
1931/7/11,16.6,8,1,17.9,8,1,15.7,8,1
1931/7/12,17.9,8,1,21.2,8,1,15.3,8,1
1931/7/13,18.2,8,1,19.9,8,1,16.5,8,1
1931/7/14,19.2,8,1,21.7,8,1,17.2,8,1
1931/7/15,19.8,8,1,21.9,8,1,18.0,8,1
1931/7/16,21.6,8,1,24.9,8,1,18.5,8,1
1931/7/17,22.3,8,1,25.6,8,1,19.6,8,1
1931/7/18,23.5,8,1,27.1,8,1,19.9,8,1
1931/7/19,26.4,8,1,32.8,8,1,21.9,8,1
1931/7/20,21.7,8,1,24.1,8,1,19.2,8,1
1931/7/21,19.8,8,1,22.2,8,1,17.9,8,1
1931/7/22,18.6,8,1,20.2,8,1,17.5,8,1
1931/7/23,19.3,8,1,22.4,8,1,17.2,8,1
1931/7/24,20.5,8,1,23.4,8,1,15.7,8,1
1931/7/25,23.5,8,1,27.3,8,1,19.7,8,1
1931/7/26,25.2,8,1,29.3,8,1,22.1,8,1
1931/7/27,24.9,8,1,30.5,8,1,21.2,8,1
1931/7/28,24.1,8,1,29.1,8,1,19.6,8,1
1931/7/29,23.7,8,1,27.2,8,1,20.9,8,1
1931/7/30,24.3,8,1,28.9,8,1,18.4,8,1
1931/7/31,25.3,8,1,29.4,8,1,21.7,8,1
1931/8/1,25.7,8,1,28.4,8,1,23.5,8,1
1931/8/2,25.7,8,1,29.8,8,1,22.7,8,1
1931/8/3,24.7,8,1,29.1,8,1,19.7,8,1
1931/8/4,24.8,8,1,28.3,8,1,20.2,8,1
1931/8/5,26.0,8,1,30.5,8,1,22.7,8,1
1931/8/6,27.4,8,1,31.3,8,1,24.5,8,1
1931/8/7,27.8,8,1,32.4,8,1,23.3,8,1
1931/8/8,27.9,8,1,31.7,8,1,24.2,8,1
1931/8/9,28.2,8,1,32.9,8,1,25.1,8,1
1931/8/10,27.7,8,1,31.2,8,1,24.5,8,1
1931/8/11,27.9,8,1,32.4,8,1,24.1,8,1
1931/8/12,27.6,8,1,33.1,8,1,23.2,8,1
1931/8/13,25.6,8,1,29.6,8,1,21.9,8,1
1931/8/14,26.7,8,1,30.6,8,1,22.8,8,1
1931/8/15,27.9,8,1,31.7,8,1,24.3,8,1
1931/8/16,27.7,8,1,32.3,8,1,23.5,8,1
1931/8/17,27.9,8,1,31.4,8,1,25.0,8,1
1931/8/18,27.7,8,1,31.6,8,1,23.5,8,1
1931/8/19,27.4,8,1,32.3,8,1,23.2,8,1
1931/8/20,27.2,8,1,31.1,8,1,23.7,8,1
1931/8/21,27.6,8,1,32.9,8,1,22.7,8,1
1931/8/22,27.9,8,1,31.5,8,1,24.3,8,1
1931/8/23,27.7,8,1,31.8,8,1,25.3,8,1
1931/8/24,26.5,8,1,32.1,8,1,22.2,8,1
1931/8/25,22.0,8,1,23.4,8,1,20.2,8,1
1931/8/26,26.0,8,1,29.5,8,1,21.4,8,1
1931/8/27,27.4,8,1,30.7,8,1,24.5,8,1
1931/8/28,28.4,8,1,33.8,8,1,23.6,8,1
1931/8/29,24.1,8,1,27.1,8,1,21.2,8,1
1931/8/30,21.7,8,1,25.7,8,1,18.9,8,1
1931/8/31,19.3,8,1,20.9,8,1,17.5,8,1
1931/9/1,23.0,8,1,28.2,8,1,19.3,8,1
1931/9/2,21.4,8,1,23.8,8,1,19.5,8,1
1931/9/3,21.1,8,1,23.7,8,1,18.5,8,1
1931/9/4,23.1,8,1,27.7,8,1,19.0,8,1
1931/9/5,26.2,8,1,30.4,8,1,22.0,8,1
1931/9/6,22.8,8,1,27.1,8,1,18.2,8,1
1931/9/7,20.0,8,1,23.2,8,1,17.6,8,1
1931/9/8,21.7,8,1,25.9,8,1,18.1,8,1
1931/9/9,19.7,8,1,21.4,8,1,17.9,8,1
1931/9/10,23.4,8,1,28.4,8,1,19.4,8,1
1931/9/11,25.8,8,1,30.1,8,1,22.1,8,1
1931/9/12,27.3,8,1,32.1,8,1,23.3,8,1
1931/9/13,26.2,8,1,30.9,8,1,22.7,8,1
1931/9/14,23.5,8,1,27.0,8,1,20.5,8,1
1931/9/15,22.1,8,1,25.1,8,1,19.6,8,1
1931/9/16,21.0,8,1,22.6,8,1,19.3,8,1
1931/9/17,21.6,8,1,25.2,8,1,19.5,8,1
1931/9/18,21.5,8,1,23.3,8,1,20.1,8,1
1931/9/19,23.1,8,1,27.1,8,1,19.4,8,1
1931/9/20,24.2,8,1,27.9,8,1,21.3,8,1
1931/9/21,22.2,8,1,26.4,8,1,19.1,8,1
1931/9/22,22.2,8,1,27.6,8,1,17.1,8,1
1931/9/23,22.2,8,1,27.9,8,1,16.9,8,1
1931/9/24,21.6,8,1,25.9,8,1,17.5,8,1
1931/9/25,21.3,8,1,25.7,8,1,17.1,8,1
1931/9/26,20.6,8,1,22.4,8,1,18.6,8,1
1931/9/27,22.6,8,1,26.9,8,1,19.3,8,1
1931/9/28,22.3,8,1,27.3,8,1,18.2,8,1
1931/9/29,22.3,8,1,27.9,8,1,17.4,8,1
1931/9/30,20.3,8,1,23.5,8,1,18.0,8,1
1932/6/1,16.9,8,1,18.9,8,1,15.6,8,1
1932/6/2,20.3,8,1,24.3,8,1,14.2,8,1
1932/6/3,21.1,8,1,24.7,8,1,19.1,8,1
1932/6/4,20.5,8,1,21.2,8,1,19.0,8,1
1932/6/5,19.6,8,1,22.4,8,1,17.0,8,1
1932/6/6,17.5,8,1,19.5,8,1,15.5,8,1
1932/6/7,15.9,8,1,17.1,8,1,14.9,8,1
1932/6/8,18.3,8,1,22.2,8,1,14.4,8,1
1932/6/9,18.6,8,1,23.1,8,1,14.9,8,1
1932/6/10,18.3,8,1,22.5,8,1,15.1,8,1
1932/6/11,18.8,8,1,22.2,8,1,14.2,8,1
1932/6/12,19.4,8,1,24.4,8,1,14.7,8,1
1932/6/13,21.1,8,1,25.2,8,1,16.4,8,1
1932/6/14,20.3,8,1,22.4,8,1,18.5,8,1
1932/6/15,21.4,8,1,26.4,8,1,16.9,8,1
1932/6/16,19.5,8,1,21.7,8,1,18.3,8,1
1932/6/17,19.4,8,1,23.2,8,1,16.3,8,1
1932/6/18,18.2,8,1,22.4,8,1,15.5,8,1
1932/6/19,19.5,8,1,24.4,8,1,15.1,8,1
1932/6/20,20.6,8,1,25.5,8,1,13.7,8,1
1932/6/21,20.2,8,1,23.9,8,1,17.8,8,1
